objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
94,"93
Duplicate",book,A2," Touré, Marvin",À BIENTÔT: Meditations on Loss in Space,2020,Coppell: Marvin Touré Studio LLC,,,," Artist book
Alma Lewis artist-in-residence",,ISBN-13: 9798555987877,,,,,,image/jpeg,,,
95,94,book,A2," Davis, Angela Y."," Blues Legacies and Black Feminism: Gertrude ""Ma"" Rainey, Bessie Smith and Billie Holiday",1999,New York: Vintage Books,,,,African American Studies,ISBN-10: 0679771263,ISBN-13: 9780679771265,,,,,,image/jpeg,,,
96,95,book,A2," Brathwaite, Kamau",Middle Passages,1992,Newcastle upon Tyne: Bloodaxe Books,,,,Poetry,ISBN-10: 1852242248,ISBN-13: 9781852242244,,,,,,image/jpeg,,,
97,96,book,A2," Garlake, Peter",Early Art and Architecture of Africa,2002,Oxford; New York: Oxford University Press,,,,African art and architecture,ISBN-10: 0192842617,ISBN-13: 9780192842619,,,,,,image/jpeg,,,
98,97,book,A2," Reynolds, Jock",House and Home: Spirits of the South,1994,Seattle: University of Washington Press,,,,Exhibition catalogue,ISBN-10: 1879886359,ISBN-13: 9781879886353,,,,,,image/jpeg,,,
99,98,book,A2," Adler, Esther and Christophe Cherix",Betye Saar: Black Girl's Window,2019,New York: Museum of Modern Art,,,,Artist monograph MoMA one on one series,ISBN-10: 1633450767,ISBN-13: 9781633450769,,,https://www.moma.org/calendar/exhibitions/5060,,,image/jpeg,,,
100,99,book,A2," Myers, Walter Dean",Brown Angels: An Album of Pictures and Verse,1993,New York: HarperCollins Publishers,,,,Children's poetry,ISBN-10: 0064434559,ISBN-13: 9780064434553,,,,,,image/jpeg,,,
101,100,book,A2," Curry-Evans, Kim, Susan Krane, Neal A. Lester, Charles H. Nelson, Jr., Kevin Powell, and Pamela Sneed",HairStories,2004,Scottsdale: Scottsdale Museum of Contemporary Art,,,,Exhibition catalogue African American History Fashion and Style,ISBN-10: 0967026547,ISBN-13: 9780967026541,,,,,,image/jpeg,,,
102,101,book,A2," Kim, Christine Y. and Franklin Sirmans, eds.",Black Belt,2003,New York: Studio Museum in Harlem,,,,Exhibition catalogue,ISBN-10: 0942949269,ISBN-13: 9780942949261,,,,,,image/jpeg,,,
103,102,book,A2," Irele, F. Abiola",The African Imagination: Literature in Africa and the Black Diaspora,2001,New York; Oxford: Oxford University Press,,,,Scholarly monograph Literary studies,ISBN-10: 0195086198,ISBN-13: 9780195086195,,,,,,image/jpeg,,,
104,103,book,A2," Warren, Calvin L."," Ontological Terror: Blackness, Nihilism, and",2018,Durham: Duke University Press,,,,African American Studies,,ISBN-13: 9780822370871,,,,,,image/jpeg,,,
105,,book,,,Emancipation,,,,,,Philosophy,ISBN-10: 0822370875,,,,,,,image/jpeg,,,
106,,book,,,,,,,,,,,,,,,,,image/jpeg,,,
107,104,book,A2," Andersson, Andrea and Antonio Sergio Bessa",Sanford Biggers: Codeswitch,2020,Bronx: Bronx Museum of the Arts; New Haven: Yale University Press,,,," Artist monograph Exhibition catalogue
Signed by the artist",ISBN-10: 0300248644,ISBN-13: 9780300248647,,,https://bronxmuseum.org/exhibition/sanford-biggers-codeswitch/,,,image/jpeg,,,
108,105,book,A2," Frank, Robert",The Americans,2008,Göttingen: Steidl,,,," Artist book
Photography",ISBN-10: 386521584X,ISBN-13: 9783865215840,,,,,,image/jpeg,,,
109,106,book,A2," Sealy, Mark, ed."," African Cosmologies: Photography, Time, and
the Other",2020," Amsterdam: Schilt Publishing; Houston:
FotoFest",,,,Exhibition catalogue,ISBN-10: 9053309322,ISBN-13: 9789053309322,,,https://fotofest.org/biennial2020,,,image/jpeg,,,
110,107,book,A2," Ramón, Juan López, ed.",Ben Jones/William Rhodes,2021,Greenvale: López Publishing,,,," Artist monograph Exhibition catalogue
Signed by the artist (Jones) and
includes handwritten note on Post-It",ISBN-10: 0578749734,ISBN-13: 9780578749730,,,,,,image/jpeg,,,
111,108,book,A2," Campbell, Mary Schmidt","Tradition and Conflict: Images of a Turbulent
Decade, 1963-1973",1985,New York: Studio Museum in Harlem,,,,Exhibition catalogue,,,,,,,,image/jpeg,,,
112,109,book,A2," Balderama, Maria R., ed.","Wifredo Lam and His Contemporaries, 1938-
1952",1992,New York: Studio Museum in Harlem,,,," Artist monograph
Exhibition catalogue",ISBN-10: 0810925486,ISBN-13: 9780810925489,,,,,,image/jpeg,,,
113,110,book,A2," Clare, Claudia",Subversive Ceramics,2016,London: Bloomsbury Academic,,,," Scholarly monograph
Ceramics",ISBN-10: 1472528549,ISBN-13: 9781472528544,,,,,,image/jpeg,,,
114,111,book,A2," Powell, Richard J., ed.",Archibald Motley: Jazz Age Modernist,2016,Durham: Nasher Museum of Art,,,,Artist monograph Exhibition catalogue Painting,ISBN-10: 0938989375,ISBN-13: 9780938989370,,," https://nasher.duke. edu/exhibitions/archibald-motley-jazz- age-modernist/
https://whitney.
org/exhibitions/archibald-motley",,,image/jpeg,,,
115,112,book,A2," McKittrick, Katherine, ed.",Sylvia Wynter: On Being Human as Praxis,2015,Durham: Duke University Press,,,,Black Studies/Black Diaspora Caribbean Studies,ISBN-10: 0822358344,ISBN-13: 9780822358343,,,,,,image/jpeg,,,
116,113,book,A2," Jordan, June"," Some of Us Did Not Die: New and Selected
Essays of June Jordan",2002,New York: Basic/Civitas Books,,,," African American Studies
Essays",ISBN-10: 0465036929,ISBN-13: 9780465036929,,,,,,image/jpeg,,,
117,114,book,A2," Said, Edward",Orientalism,2003,25th anniversary ed. New York: Vintage Books,,,,Cultural History Postcolonial Theory,ISBN-10: 039474067X,ISBN-13: 9780394740676,,,,,,image/jpeg,,,
