objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
208,203,book,B1," Siegel, Katy, ed.",Jack Whitten: Notes from the Woodshed,2018,Zurich: Hauser & Wirth Publishers,,,," Artist writings
Biography",ISBN-10: 3906915174,ISBN-13: 9783906915173,,,,,,image/jpeg,,,
209,204,book,B1," Spillers, Hortense J."," Black, White, and in Color: Essays on American
Literature and Culture",2003,Chicago: University of Chicago,,,," African American Studies
Literary criticism",ISBN-10: 0226769801,ISBN-13: 9780226769806,,,,,,image/jpeg,,,
210,205,book,B1," Audre, Lorde",Sister Outsider: Essays and Speeches,2007,Berkeley: Crossing Press,,,,"African American Studies Women's Studies
Black Feminism
Originally published 1984",ISBN-10: 1580911862,ISBN-13: 9781580911863,,,,,,image/jpeg,,,
211,206,book,B2," Coleman, Beth, Chris Ofili, and
Susanna Paisley",Chris Ofili: The Upper Room,2002,London: Victoria Miro Gallery,,,," Artist monograph
Exhibition catalogue",ISBN-10: 0954308506,ISBN-13: 9780954308506,,,"https://www.victoria-miro.
com/artists/6-chris- ofili/works/artworks5237/ https://www.adjaye.com/work/the- upper-room/
https://www.tate.org. uk/art/artworks/ofili-the-upper-room-
t11925",,,image/jpeg,,,
212,207,book,B1," Iskin, Ruth E., ed.",Re-envisioning the Contemporary Art Canon: Perspectives in a Global World,2017,Abingdon; New York: Routledge,,,," Contemporary Art
Essays Globalization",ISBN-10: 1138192686,ISBN-13: 9781138192683,,,,,,image/jpeg,,,
213,208,book,B1," Gorman, Amanda",Call Us What We Carry: Poems,2021,New York: Viking,,,,Poetry Women artists,ISBN-10: 0593465067,ISBN-13: 9780593465066,,,,,,image/jpeg,,,
214,209,book,B1," Golden, Thelma"," Black Romantic: The Figurative Impulse in
Contemporary African-American Art",2002,New York: Studio Museum in Harlem,,,," African American Art History
Exhibition catalogue",ISBN-10: 0942949234,ISBN-13: 9780942949230,,,,,,image/jpeg,,,
215,210,book,B1," Snorton, C. Riley and Hentyle Yapp, eds."," Saturation: Race, Art, and the Circulation of Value",2020,Cambridge: MIT Press; New York: New Museum,,,,Contemporary Art Essays,ISBN-10: 0262043688,ISBN-13: 9780262043687,,,,,,image/jpeg,,,
216,211,book,B1," Cameron, Will and Saul Ostrow, eds.",Fragments of the Peculiar Institution: A Project of the Artist Dread Scott,2015,New York: CPInPrint; Cameron + Brown,,,," Artist monograph Artist book
signed by the artist",,ISBN-13: 9780692731284,,,,,,image/jpeg,,,
217,212,book,B1," Scott, Joyce J.","Stop Asking, We Exist: 25 African-American
Craft Artists",1998," Pittsburgh: Society for Contemporary
Craft",,,," Exhibition catalogue
Craft
signed by the artist Thad Mosley",ISBN-10: 0966868811,ISBN-13: 9780966868814,,,,,,image/jpeg,,,
218,213,book,B1," Gabriel, Mary"," Ninth Street Women: Lee Krasner, Elaine de Kooning, Grace Hartigan, Joan Mitchell, and Helen Frankenthaler: Five Painters and the
Movement that Changed Modern Art",2019," New York: Little, Brown and Company",,,,Biography Women artists,ISBN-10: 0316226173,ISBN-13: 9780316226172,,,,,,image/jpeg,,,
219,214,book,B1," Sherman, Joan R.","African-American Poetry: An Anthology, 1773- 1927",1997,Garden City: Dover Publications,,,,Poetry,ISBN-10: 0486296040,ISBN-13: 9780486296043,,,,,,image/jpeg,,,
220,215,book,B1," Franklin, John Hope and Alvia J.
Wardlaw"," Collecting African American Art: The Museum
of Fine Arts, Houston",2009," Houston: Museum of Fine Arts,
Houston",,,,African American Art History,ISBN-10: 0300152914,ISBN-13: 9780300152913,,,,,,image/jpeg,,,
221,216,book,B1," Clark, Vicky A.","Popular Salon of the People: Associated Artists of Pittsburgh, 1910-2006",2007,Pittsburgh: Carnegie Museum of Art,,,,Exhibition catalogue Pittsburgh,ISBN-10: 0880390506,ISBN-13: 9780880390507,,,,,,image/jpeg,,,
222,217,book,B1," Jones, Kellie",Eyeminded: Living and Writing Contemporary Art,2011,Durham: Duke University Press,,,," African American Art History Essays
Signed by the author",,ISBN-13: 9780822348733,,,,,,image/jpeg,,,
223,218,book,B1," Newman, Brooke E."," A Dark Inheritance: Blood, Race, and Sex in
Colonial Jamaica",2018,New Haven: Yale University Press,,,," History
Scholarly monograph",ISBN-10: 0300225555,ISBN-13: 9780300225556,,,,,,image/jpeg,,,
224,219,book,B2," Myers-Szupinska, J. and Amanda
Nudelman, eds.",Black Light,2018," San Francisco: California College of the
Arts",,,,Exhibition catalogue,,ISBN-13: 9780975350713,,,,,,image/jpeg,,,
225,220,book,B2," Freeburg, Christopher",Black Aesthetics and the Interior Life,2017," Charlottesville: University of Virginia
Press",,,," African American Studies
Literary criticism",,ISBN-13: 9780813940328,,,,,,image/jpeg,,,
226,221,book,B2," Neal, Mark Anthony",Looking for Leroy: Illegible Black Masculinities,2013,New York: New York University Press,,,," African American Studies
Cultural Studies",,ISBN-13: 9780814758366,,,,,,image/jpeg,,,
227,222,book,B2," Perry, Imani",Looking for Lorraine: The Radiant and Radical Life of Lorraine Hansberry,2018,Boston: Beacon Press,,,," African American History Biography
Women artists",,ISBN-13: 9780807039830,,,,,,image/jpeg,,,
228,223,book,B2," Wallace, Michele",Dark Designs and Visual Culture,2004,Durham: Duke University Press,,,," African American Studies
Women's Studies Cultural criticism",ISBN-10: 0822334135,ISBN-13: 9780822334132,,,,,,image/jpeg,,,
229,224,book,B2," D'Souza, Aruna","Whitewalling: Art, Race & Protest in 3 Acts",2018,New York: Badlands Unlimited,,,," African American Art History Contemporary Art
History",ISBN-10: 1943263140,ISBN-13: 9781943263141,,,,,,image/jpeg,,,
230,225,book,B2," Hart, Rebecca R.",Jordan Casteel: Returning the Gaze,2019,Denver: Denver Art Museum,,,," Artist monograph
Exhibition catalogue Painting",ISBN-10: 0914738836,ISBN-13: 9780914738831,,," https://www.denverartmuseum.
org/en/exhibitions/jordan-casteel- returning-gaze https://museum.stanford. edu/exhibitions/jordan-casteel- returning-gaze",,,image/jpeg,,,
231,226,book,B2," Bracey Jr., John H., Sonia Sanchez, and James Smethurst, eds.",SOS - Calling All Black People: A Black Arts Movement Reader,2014,Boston: University of Massachusetts Press,,,," African American History African American Literature Black Arts Movement
Anthology",,ISBN-13: 9781625340313,,,,,,image/jpeg,,,
232,227,book,B2," Wallace, Michele"," Black Macho and the Myth of the
Superwoman",1979,New York: Dial Press,,,," Black Feminism
Cultural criticism",ISBN-10: 080370934X,ISBN-13: 9780803709348,,,,,,image/jpeg,,,
233,228,book,B2," Diaz, José Carlos",Farhad Moshiri: Go West,2017,Pittsburgh: The Andy Warhol Museum,,,," Artist monograph
Exhibition catalogue",ISBN-10: 0985535091,ISBN-13: 9780985535094,,," https://www.warhol.
org/exhibition/farhad-moshiri-go-west/",,,image/jpeg,,,
234,229,book,B2," Cahan, Susan E."," Mounting Frustration: The Art Museum in the
Age of Black Power",2016,Durham: Duke University Press,,,," African American Art History
Museums",,ISBN-13: 9780822358978,,,,,,image/jpeg,,,
235,230,book,B2," Martinson, Suzanne, Jane Citron, and Robert Sendall",The Fallingwater Cookbook: Elsie Henderson's Recipes and Memories,2008,Pittsburgh: University of Pittsburgh Press,,,," African American History Cookbook
Architecture",ISBN-10:0822943573,ISBN-13: 9780822943570,,,,,,image/jpeg,,,
236,231,book,C1," McKinley, Catherine E.","The African Lookbook: A Visual History of 100
Years of African Women",2021,New York: Bloomsbury Publishing,,,," African culture
History Photography Fashion",ISBN-10: 1620403536,ISBN-13: 9781620403532,,,,,,image/jpeg,,,
237,232,book,B2," Beck, Jessica"," Devan Shimoyama: Cry, Baby",2018,Pittsburgh: The Andy Warhol Museum,,,," Artist monograph
Exhibition catalogue",ISBN-10: 0985535059,ISBN-13: 9780985535056,,,,,,image/jpeg,,,
238,233,book,B2," Haynes, Lauren"," Speaking of of People: Ebony, Jet, and Contemporary Art",2014,New York: Studio Museum in Harlem,,,,Exhibition catalogue African American magazines/periodicals,ISBN-10: 0942949412,ISBN-13: 9780942949414,,,https://studiomuseum. org/exhibition/speaking-people-ebony- jet-and-contemporary-art,,,image/jpeg,,,
239,234,book,B2," Mercer, Valerie J.",Art of Rebellion: Black Art of the Civil Rights Movement,2017,Detroit: Detroit Institute of Arts,,,," Exhibition catalogue
African American Art History Civil Rights Movement
Black Arts Movement",ISBN-10: 0895581752,"ISBN-13: 9780895581754,",,,,,,image/jpeg,,,
240,235,book,B2," Ward, Andrew",Dark Midnight When I Rise: The Story of the Jubilee Singers Who Introduced the World to the Music of Black America,2000," New York: Farrar, Straus and Giroux",,,,African American History Music,ISBN-10: 0374187711,ISBN-13: 9780374187712,,,,,,image/jpeg,,,
241,236,book,B2," Butler, Connie",Mark Bradford: Scorched Earth,2015," Los Angeles: Hammer Museum,
University of California, Los Angeles; New York: DelMonico Books/Prestel",,,," Artist monograph
Exhibition catalogue",ISBN-10: 3791354299,ISBN-13: 9783791354293,,,,,,image/jpeg,,,
242,237,book,B2," Ketner, Joseph D.","The Emergence of the African-American Artist:
Robert S. Duncanson, 1821-1872",1993,Columbia: University of Missouri Press,,,," African American Art History
Scholarly monograph Biography",ISBN-10: 0826208800,ISBN-13:9780826208804,,,,See #194 Child of the Fire (2010),,image/jpeg,,,
243,238,book,B2," Shange, Ntozake, Frank Stewart,
Kamoinge Inc."," The Sweet Breath of Life: A Poetic Narrative of
the African-American Family",2004,New York: Atria Books,,,," Photography
Poetry",ISBN-10: 0743478975,ISBN-13: 9780743478984,,,,,,image/jpeg,,,
244,239,book,B2," Fales, Melanie","A Life Told Through Pictures: James Castle, Idaho Artist, 1899-1997",2016,Boise: Boise Art Museum,,,,Artist monograph Biography,ISBN-10: 0964832631,ISBN-13: 9780964832633,,,,,,image/jpeg,,,
245,240,book,B3," Jones, Kellie","Energy/Experimentation: Black Artists and
Absrtraction, 1964-1980",2006,New York: Studio Museum in Harlem,,,,Exhibition catalogue,ISBN-10: 0942949315,ISBN-13: 9780942949315,,,,,,image/jpeg,,,
246,241,book,B3," Marsh, Michelle Dunn and Negarra
A. Kudumu, eds.",All Power: Visual Legacies of the Black Panther Party,2016,Seattle: Minor Matters Books LLC,,,," Exhibition catalogue
African American Art History Civil Rights Movement
Black Panther Party",ISBN-10: 0990603679,ISBN-13: 9780990603672,,,,,,image/jpeg,,,
247,242,book,B3," Lewis, Shantrelle P.",Dandy Lion: The Black Dandy and Street Style,2017,New York: Aperture Foundation,,,,"Fashion Photography
Includes photographs by Abdul Aziz,
2023 Alma Lewis gallery artist",ISBN-10: 1597113891,ISBN-13: 9781597113892,,,,,,image/jpeg,,,
248,243,book,E2," Gruber, J. Richard","American Icons: From Madison to Manhattan, the Art of Benny Andrews, 1948-1997",1997,Augusta: Morris Museum of Art,,,," Artist monograph Exhibition catalogue
Signed by the author and artist",ISBN-10: 1890021016,ISBN-13: 9781890021016,,,,,,image/jpeg,,,
249,244,book,E2," Campbell, Mary Schmidt",Harlem Renaissance: Art of Black America,1987," New York: Studio Museum in Harlem; Harry N. Abrams, Inc.",,,," Exhibition catalogue
African American Art History Harlem Renaissance",ISBN-10: 0810910993,ISBN-13: 9780810910997,,,,,,image/jpeg,,,
250,245,book,B3," Kennedy, Al","Chief of Chiefs: Robert Nathaniel Lee and the
Mardi Gras Indians of New Orleans, 1915-2001",2018,Gretna: Pelican Publishing Company,,,," African American History
Biography Mardi Gras",ISBN-10: 1455623792,ISBN-13: 9781455623792,,,,,,image/jpeg,,,
251,246,book,B3," Rabaka, Reiland"," The Negritude Movement: W.E.B. DuBois,
Leon Damas, Aime Cesaire, Leopold Senghor, Frantz Fanon, and the Evolution of an Insurgent Idea",2015,Lanham: Lexington Books,,,," Black Studies
Negritude Politics History",ISBN-10: 1498511376,ISBN-13: 9781498511377,,,,,,image/jpeg,,,
252,247,book,B3," Smith, Vincent D.",An Ocean Apart: American Artists Abroad,1982,New York: Studio Museum in Harlem,,,," Exhibition catalogue
African American Art History",,,,,,,,image/jpeg,,,
253,248,book,B2," Edim, Glory, ed."," Well-Read Black Girl: Finding Our Stories,
Discovering Ourselves: An Anthology",2018,New York: Ballantine Books,,,," Anthology
Essays
Black Women's Literature",ISBN-10: 0525619771,ISBN-13: 9780525619772,,,https://www.wellreadblackgirl.com/,,,image/jpeg,,,
254,249,book,B2," Taylor, Keeanga-Yamahtta"," How We Get Free: Black Feminism and the
Combahee River Collective",2017,Chicago: Haymarket Books,,,," Black Feminism
African American History",ISBN-10: 1608468550,ISBN-13: 9781608468553,,,,,,image/jpeg,,,
255,250,book,B2," Ball, Edward",Slaves in the Family,1999,New York: Ballantine Books,,,,African American History Biography,ISBN-10: 0345431057,ISBN-13: 9780345431059,,,,,,image/jpeg,,,
256,251,book,B2," Dunbar, Erica Armstrong",She Came to Slay: The Life and Times of Harriet Tubman,2019,"New York: 37 Ink, Simon & Schuster",,,," African American History Biography
Illustrated Book",ISBN-10: 1982139595,ISBN-13: 9781982139599,,,,,,image/jpeg,,,
257,252,book,B2," Drew, Kimberly and Jenna Wortham, eds.",Black Futures,2020,New York: One World,,,," Anthology
Black Studies History",ISBN-10: 039918113X,ISBN-13: 9780399181139,,,,,,image/jpeg,,,
258,253,book,B3," Childs, Adrienne L. and Christine Mullen Kreamer, eds.",Conversations: African and African American Artworks in Dialogue: From the Collections of the Smithsonian National Museum of African Art and Camille O. and William H. Cosby Jr.,2014," Washington, DC: National Museum of African Art",,,," Exhibition catalogue African Art
African American Art Collectors",ISBN-10: 0965600130,ISBN-13: 9780965600132,,,https://conversations.africa.si.edu/,,,image/jpeg,,,
259,254,book,B2," Twitty, Michael W.",The Cooking Gene: A Journey Through African American Culinary History in the Old South,2017,New York: Amistad,,,," African American History Cooking
(handwritten annotations in pen)",ISBN-10: 0062379275,ISBN-13: 9780062379276,,,,,,image/jpeg,,,
260,255,book,B2," Geldzahler, Henry"," Making It New: Essays, Interviews, and Talks",1994,New York: Turtle Point Press,,,," Anthology
Essays Modern Art",ISBN-10: 0962798762,ISBN-13: 9780962798764,,,,,,image/jpeg,,,
261,256,book,B2," Geldzahler, Henry",New York Painting and Sculpture: 1940-1970,1969,New York: Dutton; Metropolitan Museum of Art,,,,Exhibition catalogue Modern Art Contemporary Art,ISBN-10: 0269025529,ISBN-13: 9780269025525,,,,,,image/jpeg,,,
262,257,book,B2," Mayer, Musa",Night Studio: A Memoir of Philip Guston,2016,Munich: Sieveking Verlag,,,,Memoir Biography,ISBN-10: 3944874390,ISBN-13: 9783944874395,,,,,,image/jpeg,,,
263,258,book,B3," Taylor, Susie King. Edited by Patricia W. Romero and Willie Lee Rose",A Black Woman's Civil War Memories,2009,Princeton: Markus Wiener Publishers,,,,Memoir Biography,ISBN-10: 0910129851,ISBN-13: 9780910129855,,,,,,image/jpeg,,,
264,259,book,B3," Ellington, Tameka N. and Joseph L. Underwood, eds.",Textures: The History and Art of Black Hair,2020,Kent: The Kent State University Museum; Munich: Hirmer,,,,Exhibition catalogue African American History African Art African Diaspora,ISBN-10: 3777435546,ISBN-13: 9783777435541,,,https://www.kent.edu/museum/event/textures-history-and-art-black-hair,,,image/jpeg,,,
265,"260
Duplicate",book,B3," Hartman, Saidiya"," Scenes of Subjection: Terror, Slavery, and Self- Making in Nineteenth-Century America",1997,New York; Oxford: Oxford University Press,,,,African American History Black Studies,ISBN-10: 0195089847,ISBN-13: 9780195089844,,,,,,image/jpeg,,,
266,261,book,B3," Perry, Imani",May We Forever Stand: A History of the Black National Anthem,2018,Chapel Hill: University of North Carolina Press,,,,African American History Black Studies Music,ISBN-10: 1469638606,ISBN-13: 9781469638607,,,https://naacp.org/find-resources/history-explained/lift-every-voice-and-sing,,,image/jpeg,,,
267,262,book,B3," Ausherman, Maria",Behind the Camera: American Women Photographers Who Shaped How We See the World,2021,Novato: Goff Books,,,,Women artists Photography,ISBN-10: 1951541510,ISBN-13: 9781951541514,,,,,,image/jpeg,,,
268,263,book,B3," Campbell, Mary Schmidt",An American Odyssey: The Life and Work of Romare Bearden,2018,New York: Oxford University Press,,,,Biography African American Art History,ISBN-10: 0195059093,ISBN-13: 9780195059090,,,,,,image/jpeg,,,
269,264,book,B3," Moten, Fred",Black and Blur,2017,Durham: Duke University Press,,,,Black Studies African Diaspora Cultural Criticism,ISBN-10: 0822370166,ISBN-13: 9780822370161,,,,,,image/jpeg,,,
270,265,book,B3," Pastan, Amy and Linda Bank Downs",Diego Rivera: The Detroit Industry Murals,2016,London: Scala,,,,Modern art Detroit Mexican Muralism Public Art,ISBN-10: 1857594339,ISBN-13: 9781857594331,,,,,,image/jpeg,,,
271,266,book,B3," Gooden, Mario"," Dark Space: Architecture, Representation, Black Identity",2016,New York: Columbia Books on Architecture and the City,,,,Architecture Signed by the author,ISBN-10: 1941332137,ISBN-13: 9781941332139,,,,,,image/jpeg,,,
272,267,book,B3," Rankine, Claudia",Citizen: An American Lyric,2014,Minneapolis: Graywolf Press,,,,Poetry Essays Women artists,ISBN-10: 1555976905,ISBN-13: 9781555976903,,,,,,image/jpeg,,,
273,268,book,B3," Anderson, Virginia M. G., ed.",Oletha DeVane: Traces of the Spirit,2019,Baltimore: Baltimore Museum of Art,,,,Exhibition catalogue Artist monograph Women artists,ISBN-10: 057848028X,ISBN-13: 9780578480282,,,,,,image/jpeg,,,
274,269,book,B3," Mink, Janis","Duchamp, 1887-1968: Art as Anti-Art",2000,Cologne: Taschen,,,,Artist monograph Modern art,ISBN-10: 3822863165,ISBN-13: 9783822863169,,,,,,image/jpeg,,,
275,270,book,B3," Berger, Maurice, ed.",The Crisis of Criticism,1998,New York: The New Press,,,,Anthology Essays Cultural Criticism,ISBN-10: 1565844173,ISBN-13: 9781565844179,,,,,,image/jpeg,,,
276,271,book,B3," Berger, Maurice",White Lies: Race and the Myths of Whiteness,2000," New York: Farrar, Straus and Giroux",,,,Memoir Race,ISBN-10: 0374527156,ISBN-13: 9780374527150,,,,,,image/jpeg,,,
277,272,book,B3," Alexander, Elizabeth",The Black Interior: Essays,2004,Minneapolis: Graywolf Press,,,,Essays Women artists Signed by the author,ISBN-10: 1555973930,ISBN-13: 9781555973933,,,,,,image/jpeg,,,
278,273,book,B3," Harney, Stefano and Fred Moten",The Undercommons: Fugitive Planning and Black Study,2013,Wivenhoe; New York; Port Watson: Minor Compositions,,,,Black Studies Essays,ISBN-10: 1570272670,ISBN-13: 9781570272677,,,,,,image/jpeg,,,
279,274,book,B3," Quashie, Kevin",The Sovereignty of Quiet: Beyond Resistance in Black Culture,2012,New Brunswick: Rutgers University Press,,,,Black Studies African American Literature Literary criticism,ISBN-10: 0813553105,ISBN-13: 9780813553108,,,,,,image/jpeg,,,
280,275,book,B3," McMillan, Uri",Embodied Avatars: Genealogies of Black Feminist Art and Performance,2015,New York: New York University Press,,,,Performance Art Women artists,ISBN-10: 1479852473,ISBN-13: 9781479852475,,,,,,image/jpeg,,,
281,276,book,B3," Blassingame, John W., ed."," Slave Testimony: Two Centuries of Letters, Speeches, Interviews, and Autobiographies",1977,Baton Rouge: Louisiana State University Press,,,,African American History Biography Anthology,ISBN-10: 0807102733,ISBN-13: 9780807102732,,,,,,image/jpeg,,,
282,277,book,B3," Crompton, Samuel Willard and Charlotte Etinde-Crompton",Alma Woodsey Thomas: Painter and Educator,2020,New York: Enslow Publishing,,,,Artist monograph Women artists,ISBN-10: 1978514670,ISBN-13: 9781978514676,,,,,,image/jpeg,,,
283,278,book,B3," Rankine, Claudia",Just Us: An American Conversation,2020,Minneapolis: Graywolf Press,,,,Poetry Essays Women artists Signed by the author,ISBN-10: 1644450216,ISBN-13: 9781644450215,,,,,,image/jpeg,,,
284,279,book,B3," Siegel, Katy",Since '45: America and the Making of Contemporary Art,2016,London: Reaktion Books,,,,Art History Contemporary Art,ISBN-10: 1780235941,ISBN-13: 9781780235943,,,,,,image/jpeg,,,
285,280,book,B3," Hagood, Taylor"," Secrecy, Magic, and the One-Act Plays of Harlem Renaissance Women Writers",2010,Columbus: Ohio State University Press,,,,Performance Theater Cultural Criticism Women artists,ISBN-10: 0814255086,ISBN-13: 9780814255087,,,,,,image/jpeg,,,
286,281,book,B3," Allen, Sarah and Yasufumi
Nakamori, eds.",Zanele Muholi,2020,London: Tate Publishing,,,," Exhibition catalogue
Artist monograph Photography Women artists",ISBN-10: 1849766827,ISBN-13: 9781849766821,,,https://www.tate.org.uk/whats-on/tate-modern/zanele-muholi,,,image/jpeg,,,
287,282,book,B3," Earle, T.F. and K.J.P Lowe, eds.",Black Africans in Renaissance Europe,2010,New York: Cambridge University Press,,,," History
Renaissance",ISBN-10: 0521176603,ISBN-13: 9780521176606,,,,,,image/jpeg,,,
288,283,book,B3," Mensah, Lucy and Juana Williams",Kennedy Yanko: Before Words,2019,Chicago: Kavi Gupta; Grand Rapids: Urban Institute of Contemporary Arts,,,," Exhibition catalogue Sculpture
Women artists",,,,,https://www.uica. org/exhibitions/beforewords,,,image/jpeg,,,
289,284,book,B3," Moeller, Christopher",Iron Empires: Void,2013,New York; Pittsburgh: Forged Lord Comics,,,," Comics Graphic Novel
Signed by the author",ISBN-10: 0983645841,ISBN-13: 9780983645849,,,,,,image/jpeg,,,
290,285,book,B3," Fanon, Frantz; trasnlated by Richard Philcox",The Wretched of the Earth,2004,New York: Grove Press,,,," Black Studies History
Colonialism/Postcolonialism",ISBN-10: 0802141323,ISBN-13: 9780802141323,,,,"See #389 Black Skin, White Masks (2008); #246 The Negritude Movement (2015)",,image/jpeg,,,
291,286,book,B3," Wells, Ida B.; edited by Alfreda M.
Duster"," Crusade for Justice: The Autobiography of Ida
B. Wells",2020,"2nd ed. Chicago: University of Chicago
Press",,,," Biography
African American History Women's Studies",ISBN-10: 022669142X,ISBN-13: 9780226691428,,,,,,image/jpeg,,,
292,287,book,B3," Cole, Robert E.","The Land of Dayaogeh: Pittsburgh and
Western Pennsylvania, 10,000 BC to 1800 AD",2006,2nd ed. Apollo: Closson Press,,,," History
Pennsylvania Pittsburgh",ISBN-10: 1558564543,ISBN-13: 9781558564541,,,,,,image/jpeg,,,
293,288,book,B3," Campbell, Mary Schmidt and Randy Martin, ed.",Artistic Citizenship: A Public Voice for the Arts,2006,New York: Routledge,,,,Cultural Studies Education Public Art,ISBN-10: 0415978661,ISBN-13: 9780415978668,,,,,,image/jpeg,,,
294,289,book,B3," Zaczek, Iain and Julia Brown",The Art of the Icon,1994,London: Studio Editions,,,,Art History Icon Painting,ISBN-10: 1858911788,ISBN-13: 9781858911786,,,,,,image/jpeg,,,
295,290,book,B3," collymore, nan, ed.",The Black Aesthetic: Season III,2020,Oakland: Wolfman Books,,,," Film Anthology
Essays",ISBN-10: 1733276130,ISBN-13: 9781733276139,,,https://www.theblkaesthetic.com/,,,image/jpeg,,,
296,291,book,B3," Alexander, Elizabeth",The Trayvon Generation,2022,New York : Grand Central Publishing,,,," African American Children/Youth African American Mothers Psychology
Essays
Handwritten annotations in pencil",ISBN-10: 1538737892,ISBN-13: 9781538737897,,,,,,image/jpeg,,,
297,292,book,B3," Fletcher, Catherine",The Black Prince of Florence: The Spectacular Life and Treacherous World of Alessandro de' Medici,2020,New York: Oxford University Press,,,," Biography History
Italian Renaissance",ISBN-10: 0190092149,ISBN-13: 9780190092146,,,,,,image/jpeg,,,
298,293,book,B3," Rankine, Claudia",The End of the Alphabet: Poems,1998,New York: Grove Press,,,," Poetry
Women artists",ISBN-10: 080212447X,ISBN-13: 9780802124470,,,,,,image/jpeg,,,
299,294,book,B3," Vikram, Anuradha",Decolonizing Culture: Essays on the Intersection of Art and Politics,2022,San Francisco: Art Pratical Books,,,," Essays
Decolonization Politics",ISBN-10: 0998500658,ISBN-13: 9780998500652,,,,,,image/jpeg,,,
300,295,book,C1," Jones, G. William",Black Cinema Treasures: Lost and Found,1991,Denton: University of North Texas Press,,,,Film/Cinema,ISBN-10: 0929398262,ISBN-13: 9780929398266,,,,,,image/jpeg,,,
301,296,book,C1," Shipman, David"," The Story of Cinema: A Complete Narrative
History from the Beginnings to the Present",1986,New York: St. Martin's Press,,,,Film/Cinema,ISBN-10: 0312762801,ISBN-13: 9780312762803,,,,,,image/jpeg,,,
302,297,book,E2," Newhall, Beaumont",The History of Photography: From 1839 to the Present,1982,New York: Museum of Modern Art,,,,Photography,ISBN-10: 0870703811,ISBN-13: 9780870703812,,,,,,image/jpeg,,,
303,298,book,E2," Willis, Deborah and Howard
Dodson","Black Photographers Bear Witness: 100 Years
of Social Protest",1982," Williamstown: Williams College
Museum of Art",,,," Exhibition catalogue
Photography
African American History",ISBN-10: 0913697095,ISBN-13: 9780913697092,,,,,,image/jpeg,,,
304,299,book,E2," Null, Gary",Black Hollywood: The Black Peformer in Motion Pictures,1990,Secaucus: Citadel Press,,,," Film/Cinema Performance
African American History",ISBN-10: 0806509082,ISBN-13: 9780806509082,,,,,,image/jpeg,,,
305,300,book,C1,East End/East Liberty Historical Society,Pittsburgh's East Liberty Valley,2008,Charleston; Chicago; Portsmouth; San Francisco: Arcadia Publishing,,,," History Pennsylvania
Pittsburgh",ISBN-10: 0738554898,ISBN-13: 9780738554891,,,,,,image/jpeg,,,
306,301,book,C1," Ciotola, Nicholas P.",Italians of Pittsburg and Western Pennsylvania,2005,Charleston; Chicago; Portsmouth; San Francisco: Arcadia Publishing,,,,History Pennsylvania Pittsburgh,ISBN-10: 0738537780,ISBN-13: 9780738537788,,,,,,image/jpeg,,,
307,302,book,C1," Brewer Jr., John M.",Pittsburgh Jazz,2007," Charleston; Chicago; Portsmouth; San
Francisco: Arcadia Publishing",,,," African American History
Pennsylvania Pittsburgh Music Performance
Signed by the author",ISBN-10: 0738549800,ISBN-13: 9780738549804,,,,,,image/jpeg,,,
308,303,book,C1," Brewer Jr., John M.",African Americans in Pittsburgh,2006,Charleston; Chicago; Portsmouth; San Francisco: Arcadia Publishing,,,," African American History Pennsylvania
Pittsburgh Photography
Signed by the author",ISBN-10: 0738544876,ISBN-13: 9780738544878,,,,,,image/jpeg,,,
309,304,book,C1," Wright, Beryl J.",Lorna Simpson: For the Sake of the Viewer,1992," Chicago: Museum of Contemporary
Art; New York: Universe Publishing",,,," Exhibition catalogue
Artist monograph Photography Women artists
First major publication to document the artist's work",ISBN-10: 0876636377,ISBN-13: 9780876636374,,,https://mcachicago.org/Exhibitions/1992/Lorna-Simpson-For-The-Sake-Of-The-Viewer,,,image/jpeg,,,
310,305,book,C1," Brewer Jr., John M.",Kingpins of Pittsburgh,2016,Pittsburgh: John M. Brewer Jr.,,,,African American History Pittsburgh,ISBN-10: 0692669175,ISBN-13: 9780692669174,,,,,,image/jpeg,,,
311,306,book,C1," Rugare, Steve and Terry Schwartz, eds.",Cities Growing Smaller,2008," Cleveland: Cleveland Urban Design Collaborative, College of Architecture and Environmental Design, Kent State University",,,,Architecture Urbanism Urban Studies,,,OCLC10 :  1607433699,,,,,image/jpeg,,,
312,307,book,C1," Rugare, Steve and Terry Schwartz, eds.",Pop Up City,2009," Cleveland: Cleveland Urban Design Collaborative, College of Architecture and Environmental Design, Kent State
University",,,,Architecture Urbanism Urban Studies,ISBN-10: 1607433702,ISBN-13: 9781607433705,,,https://www.cudc.kent.edu/pop-up-city,,,image/jpeg,,,
313,308,book,C1," McGee, Julie L.",Martha Jackson Jarvis: Ancestors' Bones,2012," Newark: University of Delaware, University Museums",,,,Exhibition catalogue Women artists Signed by the artist,ISBN-10: 0615668844,ISBN-13: 9780615668840,,,,,,image/jpeg,,,
314,309,book,E2," Proctor Jr., Ralph and John Brewer,
Jr."," Voices from the Firing Line: A Personal
Account of the Pittsburgh Civil Rights Movement",2013,Pittsburgh: Introspec,,,," African American History
Pennsylvania Pittsburgh Photography
Civil Rights Movement",ISBN-10: 0989869407,ISBN-13: 9780989869409,,,,,,image/jpeg,,,
